user_id,label
5110,177
5113,212
5142,34
5144,13
5147,70
5156,137
5168,190
5169,19
5171,209
5182,233
5186,141
5188,115
5190,8
5210,206
5222,61
5232,216
5243,196
5246,123
5249,108
5261,120
5266,166
5274,177
5284,225
5287,126
5290,173
5291,66
5295,153
5296,233
5298,172
5302,71
5304,210
5309,225
5314,14
5321,249
5324,212
5341,19
5343,74
5351,139
5353,205
5355,237
5360,123
5369,71
5380,70
5382,225
5409,179
5416,14
5418,14
5422,187
5427,187
5440,153
5441,66
5445,89
5446,243
5460,126
5466,84
5469,126
5475,238
5480,115
5486,236
5487,233
5536,100
5542,87
5544,11
5548,71
5552,233
5555,138
5556,77
5559,70
5577,167
5592,176
5597,79
5599,14
5601,227
5616,238
5618,126
5627,10
5628,89
5645,115
5646,153
5653,13
5657,190
5662,126
5674,13
5682,139
5688,233
5696,122
5697,233
5700,100
5703,14
5704,216
5720,115
5726,201
5731,18
5733,187
5744,115
5745,173
5746,153
5752,124
5764,187
5769,173
5777,115
5782,233
5789,115
5790,115
5791,123
5793,123
5801,196
5802,14
5806,115
5811,65
5812,4
5814,50
5817,245
5819,187
5821,215
5822,196
5827,179
5834,123
5836,173
5845,13
5849,178
5852,88
5853,86
5856,13
5861,187
5862,216
5865,120
5868,99
5874,225
5876,226
5882,236
5883,123
5889,149
5891,232
5896,206
5897,71
5903,126
5918,153
5921,89
5922,13
5932,71
5935,240
5957,196
5958,8
5975,87
5981,190
5982,14
5984,177
5987,196
5993,87
6007,238
6010,137
6013,145
6033,10
6043,100
6061,137
6062,242
6063,100
6069,225
6083,19
6084,173
6088,182
6091,14
6093,19
6112,233
6118,49
6120,233
6126,172
6133,123
6144,210
6146,182
6148,13
6152,212
6158,47
6161,173
6180,225
6198,145
6200,24
6210,226
6216,131
6225,118
6234,14
6236,212
6244,66
6258,153
6260,66
6262,113
6264,102
6266,196
6267,99
6268,233
6276,134
6277,225
6278,158
6292,13
6298,137
6300,196
6302,238
6304,33
6305,46
6309,108
6310,0
6329,190
6330,42
6335,236
6340,225
6345,83
6346,8
6349,10
6358,71
6364,100
6365,6
6366,233
6367,83
6372,137
6380,54
6386,226
6388,12
6391,105
6399,173
6400,234
6402,61
6406,208
6408,233
6414,225
6421,13
6430,131
6432,190
6438,233
6441,216
6443,186
6444,24
6445,233
6448,34
6449,225
6456,100
6460,238
6461,216
6475,158
6478,10
6482,178
6486,95
6491,160
6504,115
6508,187
6509,39
6512,131
6521,131
6522,173
6524,121
6533,209
6540,206
6560,123
6563,8
6568,41
6583,145
6592,160
6600,126
6604,0
6615,120
6624,173
6629,66
6637,40
6645,145
6651,233
6678,33
6681,53
6682,115
6688,212
6691,116
6694,92
6703,41
6704,48
6705,240
6713,139
6716,145
6722,49
6726,131
6733,8
6739,13
6741,107
6755,153
6777,126
6782,245
6791,176
6799,212
6805,240
6819,233
6827,233
6844,172
6846,126
6848,19
6897,177
6898,173
6899,99
6903,104
6910,173
6918,225
6920,40
6932,179
6944,233
6945,8
6946,99
6948,243
6962,190
6967,172
6970,187
6995,233
7008,225
7011,216
7012,155
7021,177
7024,177
7031,13
7032,213
7034,145
7093,179
7116,30
7122,72
7126,10
7136,196
7140,216
7141,179
7144,4
7147,14
7154,187
7162,215
7173,91
7178,4
7186,176
7190,8
7193,100
7205,212
7210,242
7211,222
7215,123
7228,65
7230,108
7231,183
7241,204
7256,196
7267,138
7277,42
7285,24
7290,126
7298,138
7315,173
7345,145
7355,33
7363,206
7370,221
7376,238
7381,226
7399,113
7405,65
7407,94
7412,145
7418,179
7426,46
7432,61
7437,94
7441,90
7446,76
7450,139
7469,89
7473,33
7488,198
7495,72
7498,183
7507,207
7512,145
7524,176
7531,212
7536,205
7548,172
7552,125
7565,126
7581,158
7583,156
7585,13
7586,0
7595,174
7598,76
7602,210
7613,245
7616,174
7618,233
7624,102
7634,212
7643,72
7644,115
7647,166
7648,145
7650,99
7668,177
7671,145
7672,76
7675,23
7679,153
7705,173
7714,248
7720,77
7724,123
7734,226
7735,232
7740,13
7743,196
7748,206
7754,13
7756,115
7779,61
7780,76
7793,216
7806,238
7816,190
7819,233
7828,198
7831,0
7834,14
7839,71
7841,232
7850,95
7851,13
7852,190
7856,173
7867,174
7872,182
7883,238
7888,206
7890,233
7891,83
7894,120
7898,166
7903,103
7913,242
7918,158
7919,154
7920,163
7922,198
7925,204
7938,4
7961,233
7979,245
7988,212
